approach,starting_age,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_worst_50pct_mean,terminal_mean,annual_contribution,normalization
Ours,65,0.393219013676253,0.4364629545010116,0.4849683081436098,0.5700284177443875,0.8764980304443373,1.254504339633735,0.0034067011704882,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,20,43.11528994197767,52.165200966918555,64.04672017069919,86.63659101862264,176.001542700523,339.7983270429512,1.0,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,21,39.78302734687296,48.13190026859851,59.093525562520696,79.9331074344294,162.444820443886,313.65599709406536,0.922387417726932,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,22,19.118761278437134,23.12256567501324,28.38822906383368,38.40015533454634,78.08481592078094,150.80253871431137,0.442857926282682,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,23,12.244679923561135,14.821325875071668,18.200650979400255,24.62523147610148,50.085695426746234,96.76443509229877,0.2837255092102926,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,24,8.822331821458224,10.685583819102618,13.140814447130708,17.795021875600497,36.172373715711075,69.93241260235035,0.2046268469493182,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,25,6.80985860754607,8.245349331047112,10.136953420774686,13.717574443078993,27.865044075401617,53.9215897520498,0.1573851922966463,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,26,5.485760182362886,6.634965253091579,8.151171119779791,11.02906552271531,22.39283863301258,43.314485946351404,0.126207841922962,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,27,4.539681633441014,5.488316241545396,6.736522171376794,9.11709982115844,18.494453234789713,35.740532595073105,0.1039389453852819,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,28,3.827792567413885,4.6365267891612545,5.6897168306699495,7.69016960507882,15.60577808699238,30.122006231689788,0.0874159031371248,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,29,3.2714571975085556,3.9660258988038066,4.871401848401539,6.5791602336206605,13.353779946039914,25.74412230274775,0.0745814866148723,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,30,2.8366395584791557,3.4432574698845517,4.227965165215288,5.710625844419415,11.568479567327568,22.25447229916497,0.0643670745766518,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,31,2.4869804566025313,3.0092386196601293,3.6915614436526116,5.001954179320582,10.120818886290534,19.444280614428685,0.056022036197154,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,32,2.2000298795627797,2.665319827139229,3.2716549612709707,4.428508924410705,8.952773046179475,17.132360746364455,0.0492554505854136,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,33,1.9843657652636324,2.4029022880181348,2.940245000016489,3.9615057999027274,7.978081052982489,15.190367237090742,0.0436076643051984,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
